사용장소,방문횟수,사용금액,음식점,카테고리
(주)신세계페이먼츠,4,546290,2,기타
11번가,4,232240,2,기타
GS슈퍼마켓,4,381680,2,기타
가마솥,4,224000,1,-
감나무집,33,6527500,1,한식
강강술래,21,5068500,1,고기
강촌민물매운탕2호점,7,547000,1,매운탕
갯바위,6,458000,1,"매운탕, 해물탕"
거목쟁반짜장,8,136500,1,중식
고려왕족발,5,351000,1,족발
고창복의낙지세상,11,1183000,1,낙지
구수옥설렁탕,9,586000,1,설렁탕
그린파크식당,5,1600000,1,한식
금비,12,2756000,1,-
기절초풍왕순대,4,119000,1,순대
김가네,9,617500,1,분식
김밥,5,1021000,1,분식
김밥천국,6,347000,1,분식
나주곰탕,12,928500,1,곰탕
나주오리종가,4,457000,1,오리
남도전문음식점,5,1188000,1,해물
남원추어탕,33,3146000,1,추어탕
다리목,12,2760000,1,한식
다이소,8,97700,2,기타
당곡기사식당,11,846000,1,한식
대호아구집,7,456000,1,해물찜
동강염소탕,4,403000,1,염소
등갈비연탄구이,4,434000,1,고기
떡보의하루,22,3453600,1,떡
라온,5,311500,1,-
마켓동광,4,184000,1,카페
만리장성,21,2247000,1,중식
맘스터치,6,145600,1,햄버거
먹쉬돈나,6,283000,1,분식
메밀꽃밭언덕너머,9,445500,1,-
명태어장,10,889000,1,해물
명품횡성한우가,13,3230000,1,고기
모리,6,160000,1,카페
목포부부아구찜,7,747000,1,해물
미가할매집,8,1177000,1,한식
미추원주추어탕,5,821000,1,추어탕
바다양푼이동태탕,4,149000,1,동태탕
백채,6,184000,1,-
베리베리,6,116000,1,카페
본죽,15,615000,1,죽
봉천동진순자김밥,8,395000,1,분식
북경반점,7,763000,1,중식
사랑방,5,951000,1,-
사사꼬,9,467500,1,-
사시사철흑염소오리,7,1048000,1,염소
산야로,31,1916000,1,콩나물국밥
삼미옥,7,836000,1,"곰탕, 설렁탕"
상도스시,4,322000,1,일식
생각보다맛있는집,21,1158000,1,칼국수
서울대곱창,4,312500,1,곱창
서울삼족탕,5,467000,1,"곰탕, 설렁탕"
선우정,5,672900,1,-
세컨드페이지,4,114800,1,카페
송원마포갈비,4,160000,1,고기
숨은집,7,1007000,1,-
시골집,45,9381000,1,한식
신부산횟집,4,614000,1,일식
신안바다장어,5,408000,1,장어
쌈마을,26,4350000,1,-
아리차이,10,1605000,1,중식
안집,8,705000,1,한식
양평해장국,6,272000,1,해장국
어메칼국수,18,768500,1,칼국수
얼큰수제비해물칼국수,18,614500,1,칼국수
영덕물회막회,5,711000,1,회
옛날육개장,26,2664000,1,육개장
오리오리,31,2076000,1,오리
옥천골,40,6801000,1,추어탕
완산정,5,235500,1,한식
외래향,5,416000,1,중식
용궁다리원,4,208500,1,중식
우리가참김치,6,744000,1,-
우리동네고기집,22,7319900,1,고기
우리참순대,7,326000,1,"순대, 순댓국"
우성각,5,790000,1,중식
우쥬커피,4,137900,1,카페
유천칡냉면,5,338000,1,냉면
은성숯불갈비,19,1867100,1,고기
이금옥샤브샤브칼국수,11,1158000,1,샤브샤브
일구칠구매운탕,5,487000,1,매운탕
일커피,9,170000,1,카페
자연별곡,9,862400,1,한식뷔페
작은따옴표,4,930000,1,주점
장군집,7,263000,1,주점
장보고마트,25,6522210,2,기타
장수삼계탕,6,180000,1,삼계탕
장터순대국,5,743000,1,순대국
쟝블랑제리,13,644550,1,베이커리
전진생삼겹,10,314000,1,고기
정가한정식,11,2617000,1,한식
정담은보쌈,6,993500,1,보쌈
정육점식당,6,279000,1,고기
제주은갈치,93,11714000,1,"해물, 생선요리"
진우리독도참치,6,863000,1,-
청능장,19,1009000,1,-
담양에초대,4,622000,1,한식
추어탕전문점대령숙수,5,504000,1,추어탕
카모메,10,681400,1,일식
카페모아,14,452900,1,카페
커피빈코리아,4,78600,1,카페
컴포즈커피,9,147900,1,카페
코코미,9,798000,1,일식
콩심,22,540000,1,국밥
쿠우쿠우,7,663300,1,일식
쿠팡,18,4820410,2,기타
태창온누리약국,9,502700,2,기타
통큰대박집,13,2985000,1,한식
투썸서울대입구역,4,56790,1,카페
티라노,9,310000,1,-
파리바게뜨,33,1125300,1,베이커리
페리카나,10,1359000,1,치킨
풍년오리,4,468000,1,오리
황칠나라 풍년옥,4,540000,1,한식
풍년집,4,122000,1,고기
풍천장어,6,760000,1,장어
하이보,23,4470000,1,중식
한근한방삼계탕,10,627000,1,삼계탕
할매보쌈,5,408000,1,보쌈
해물나라,17,1892000,1,-
홍콩반점,7,278500,1,중식
황복,6,390000,1,복어
후포리,4,535000,1,회
흥부보쌈,8,1167000,1,보쌈