소스/매체,사용자,신규 방문자,세션,이탈률,세션당 페이지수,평균 세션 시간,문의하기 완료(유효성체크완료) (목표 5 전환율),문의하기 완료(유효성체크완료) (목표 5 완료 수),문의하기 완료(유효성체크완료) (목표 5 가치)
google / cpc,5051,4907,5921,78.16%,1.66,49.29,0.32%,19,0.00
naver / powerlink,4051,4006,4556,79.87%,1.52,31.98,0.72%,33,0.00
(direct) / (none),1057,1021,1750,70.23%,1.95,82.43,1.14%,20,0.00
naver / organic,749,623,1017,50.25%,2.77,123.73,1.18%,12,0.00
google / organic,598,493,868,58.29%,2.53,143.01,1.15%,10,0.00
naver / BrandSearch,429,303,980,39.49%,3.41,185.28,2.24%,22,0.00
naver cafe SO / reply,422,387,545,21.47%,3.93,136.13,6.42%,35,0.00
naver cafe SO / banner,188,167,266,57.52%,2.59,138.44,1.13%,3,0.00
naver.com / referral,165,156,209,55.02%,2.38,80.32,0.48%,1,0.00
naver cafe SO / bizposting,87,71,105,8.57%,4.29,145.51,6.67%,7,0.00
naver cafe SO / etcposting,71,69,88,9.09%,4.13,82.30,6.82%,6,0.00
allra.co.kr / referral,56,53,56,37.50%,3.02,95.55,0.00%,0,0.00
kin.naver.com / referral,54,53,55,83.64%,1.47,20.04,0.00%,0,0.00
naver cafe SO / posting,51,38,67,4.48%,4.66,153.04,5.97%,4,0.00
dcamp.kr / referral,43,43,49,65.31%,1.94,64.31,0.00%,0,0.00
naver cafe OD / posting,41,34,51,9.80%,3.63,86.25,7.84%,4,0.00
baidu / organic,35,34,35,100.00%,1.00,0.00,0.00%,0,0.00
cafe.naver.com / referral,34,32,36,61.11%,2.03,47.31,0.00%,0,0.00
blog.naver.com / referral,33,19,40,22.50%,3.30,108.43,2.50%,1,0.00
apis.naver.com / referral,30,30,30,93.33%,1.13,0.03,0.00%,0,0.00
m.search.naver.com / referral,29,8,36,63.89%,2.39,109.06,0.00%,0,0.00
naver cafe OD / message,26,23,30,6.67%,3.50,97.20,0.00%,0,0.00
daum / organic,25,19,39,23.08%,4.08,189.69,5.13%,2,0.00
navercafeSO / bizposting,25,24,25,28.00%,2.36,0.08,0.00%,0,0.00
bing / organic,24,20,31,38.71%,4.81,249.55,6.45%,2,0.00
logisticsjob.net / referral,22,21,22,40.91%,2.50,110.59,0.00%,0,0.00
venturesquare.net / referral,19,19,24,37.50%,3.54,210.38,4.17%,1,0.00
ollra / banner,18,12,53,20.75%,4.89,254.19,0.00%,0,0.00
navercafeSO / etcposting,17,17,17,17.65%,2.59,0.18,0.00%,0,0.00
m.place.naver.com / referral,15,10,19,52.63%,2.47,60.00,0.00%,0,0.00
naver cafe OD / banner,15,12,43,37.21%,2.95,183.35,2.33%,1,0.00
kakao / open chat,14,13,22,54.55%,1.82,72.91,0.00%,0,0.00
pcmap.place.naver.com / referral,14,7,18,50.00%,3.44,143.78,0.00%,0,0.00
colosseum.channel.io / referral,13,0,17,17.65%,4.47,81.18,11.76%,2,0.00
directsend / mail,12,7,40,32.50%,6.30,372.35,10.00%,4,0.00
m.blog.naver.com / referral,12,7,14,57.14%,2.57,112.86,0.00%,0,0.00
m.kin.naver.com / referral,12,8,12,33.33%,3.08,80.25,0.00%,0,0.00
coda.io / referral,11,11,11,27.27%,3.27,383.91,0.00%,0,0.00
m.cafe.naver.com / referral,9,5,9,55.56%,2.89,51.78,0.00%,0,0.00
naver cafe OD / etcposting,9,8,9,0.00%,3.22,112.00,0.00%,0,0.00
naver cafe OD / fairposting,9,7,10,10.00%,3.80,122.90,0.00%,0,0.00
sop.searchad.navercorp.com / referral,9,7,10,70.00%,2.50,126.80,0.00%,0,0.00
jobplanet.co.kr / referral,8,8,9,66.67%,1.67,26.67,0.00%,0,0.00
link.naver.com / referral,8,7,9,33.33%,3.56,190.11,11.11%,1,0.00
jobaba.cafe24.com / referral,7,7,8,62.50%,1.38,9.88,0.00%,0,0.00
naver cafe SO / jobposting,7,5,7,85.71%,3.43,341.00,0.00%,0,0.00
Direct link / Brochure,6,5,8,87.50%,1.25,185.00,0.00%,0,0.00
Direct link / leaflet,5,5,6,66.67%,1.33,37.17,0.00%,0,0.00
localhost:8080 / referral,5,0,18,44.44%,3.83,251.44,16.67%,3,0.00
youtube.com / referral,5,4,6,50.00%,3.33,92.33,0.00%,0,0.00
domebon.com / referral,4,4,6,0.00%,8.00,202.50,0.00%,0,0.00
l.instagram.com / referral,4,3,5,40.00%,2.60,85.00,0.00%,0,0.00
navercafeOD / posting,4,4,4,50.00%,1.75,0.00,0.00%,0,0.00
supermakers.atlassian.net / referral,4,1,4,100.00%,1.00,0.00,0.00%,0,0.00
techtaka.atlassian.net / referral,4,4,18,38.89%,4.83,312.39,0.00%,0,0.00
yahoo / organic,4,3,4,25.00%,2.00,21.00,0.00%,0,0.00
Direct link / youtube,3,1,7,28.57%,2.43,102.43,0.00%,0,0.00
directsend.co.kr / referral,3,1,32,15.63%,8.03,481.69,0.00%,0,0.00
mail.office.hiworks.com / referral,3,2,3,100.00%,1.00,0.00,0.00%,0,0.00
naver cafe OD / jobposting,3,2,3,100.00%,1.00,0.00,0.00%,0,0.00
naver cafe OD / open chat,3,3,3,33.33%,3.33,57.33,0.00%,0,0.00
naver cafe OD / reply,3,3,3,0.00%,3.00,1.00,0.00%,0,0.00
naver cafe SO / message,3,1,3,0.00%,2.67,7.33,0.00%,0,0.00
navercafeOD / etcposting,3,2,3,66.67%,1.33,1.00,0.00%,0,0.00
programmers.co.kr / referral,3,3,4,50.00%,2.50,6.50,0.00%,0,0.00
210.117.121.213 / referral,2,2,2,0.00%,2.00,13.00,0.00%,0,0.00
211.55.147.235 / referral,2,2,2,0.00%,9.50,1053.00,50.00%,1,0.00
ditto.searchad.naver.com / referral,2,0,6,66.67%,1.67,2.00,0.00%,0,0.00
ezwebmail.bizmeka.com / referral,2,0,3,0.00%,5.67,428.67,0.00%,0,0.00
gw.jw.co.kr / referral,2,2,2,0.00%,5.00,127.00,50.00%,1,0.00
jira.simplexi.com / referral,2,2,2,100.00%,1.00,0.00,0.00%,0,0.00
jobkorea.co.kr / referral,2,2,3,33.33%,1.67,239.00,0.00%,0,0.00
kakao / keywords,2,0,2,50.00%,10.50,239.50,0.00%,0,0.00
mail.google.com / referral,2,1,2,0.00%,3.50,173.00,50.00%,1,0.00
mylign.co.kr / referral,2,1,3,33.33%,1.67,12.33,0.00%,0,0.00
searchad.navercorp.com / referral,2,2,2,50.00%,3.00,8.50,0.00%,0,0.00
118.222.50.26 / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
192.168.72.225 / referral,1,1,1,0.00%,2.00,8.00,0.00%,0,0.00
218.234.32.204:8000 / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
59.22.238.233 / referral,1,0,1,100.00%,1.00,0.00,0.00%,0,0.00
center-pf.kakao.com / referral,1,1,1,0.00%,3.00,23.00,0.00%,0,0.00
channel.io / referral,1,0,3,33.33%,2.33,5.00,0.00%,0,0.00
datadog.my.salesforce.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
desk.channel.io / referral,1,0,8,37.50%,3.88,534.75,0.00%,0,0.00
ebizsupplier.com / referral,1,1,1,0.00%,3.00,13.00,0.00%,0,0.00
event-us.kr / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
gadmin.godo.co.kr / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
gw.superfreeze.kr / referral,1,0,1,0.00%,3.00,59.00,0.00%,0,0.00
kmail.kotra.or.kr / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
kr3.samsung.net / referral,1,1,2,100.00%,1.00,0.00,0.00%,0,0.00
l.facebook.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
linkedin.com / referral,1,0,1,0.00%,5.00,45.00,0.00%,0,0.00
litalco.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
m.facebook.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
m.jobkorea.co.kr / referral,1,1,1,0.00%,5.00,96.00,0.00%,0,0.00
mail.logisall.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
mail.magikan.co.kr / referral,1,1,1,0.00%,4.00,179.00,0.00%,0,0.00
mail3.nate.com / referral,1,1,1,0.00%,5.00,452.00,0.00%,0,0.00
malanghoney2701.daouoffice.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
mindmeister.com / referral,1,1,1,0.00%,2.00,74.00,0.00%,0,0.00
naver cafe ETC / posting,1,1,1,0.00%,7.00,123.00,0.00%,0,0.00
navercafeDK / etcposting,1,1,1,0.00%,3.00,0.00,0.00%,0,0.00
navercafeETC / posting,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
navercafeOD / fairposting,1,1,1,0.00%,2.00,0.00,0.00%,0,0.00
rankey.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
search.zum.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
sellerocean.com / referral,1,1,1,0.00%,2.00,26.00,0.00%,0,0.00
sminfo.mss.go.kr / referral,1,0,1,0.00%,7.00,1487.00,0.00%,0,0.00
tagassistant.google.com / referral,1,0,5,40.00%,5.00,93.80,40.00%,2,0.00
webmail.coversomeone.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
webmail.ksg.co.kr / referral,1,1,2,50.00%,2.00,1.00,0.00%,0,0.00
webmail.logibridge.kr / referral,1,0,1,0.00%,2.00,55.00,0.00%,0,0.00
xfile.comn.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
,13765,12925,17489,67.42%,2.09,75.74,1.13%,198,0.00