id,date,rating,userName,content,eval
13,2021-12-11,3,김강희,몇 년 전 호두 잉글리시 플레이했던 유저입니다. 그림체 보고 바로 알아봤네요. 당시 스토리 업데이트가 느리고 온갖 오류가 난무해서 이용날짜가 상당히 남아있었음에도 불구하고 플레이를 관뒀던 기억이 있습니다. 많이 개선되었을까요? 그때는 이용권을 구매하고 진행했었는데 이번에는 결제가 필요없는건지 궁금해서 다시 한 번 해봅니다ㅎ,negative
16,2021-12-20,3,Merry JJ,말을 하는데 못 알아 듣고요 긴 글씨는 읽을 시간을 줘야하는데 시간도 너무 적은거 같아요. 이런 점이 아쉽네요. 애들이 하기엔 AI가 말하는게 너무 빠르네요 따라 말하기도 어려워요. 이런 점 빼고는 다 괜찮네요.,negative
26,2022-02-04,1,한채원,"오마이비키 광고 보고 재미있어 보여서 바로 설치했는데 머..영어 퀴즈 몇게하고 나니까 로그인,비밀번호,회원가입 하라고하는데 그거 꼭 해야하나요?돼게 화나는 점이 자동 로그인 눌렀더니 안돼더라고요 저는 제작자님이 답글하거나 이 점들 안봐꺼 주시면 플레이 안할거에요!!!!!!!!!!!!!!!!!!!!!!!",negative
31,2021-12-03,1,Jin Yeong Lim,아직 출시된 지 얼마 안되어서 그런건지 모르겠지만 깔고 1분도 되지않고 작성하는 후기입니다. 음성인식 프로그램을 뭘 쓰시는지는 모르겠지만 따라 읽는 부분을 아무리 해도 인식이 안되네요. 회화문장으로 연결되는것 좋은데 인식이 안되니 처음에 이 부분의 진입장벽이 높아 유저들이 결국 삭제를 할 어플이 될까봐 후기를 남깁니다.,negative
39,2021-12-16,1,개콩이,설치 후 들어가니까 자꾸 최신앱을 사용하래요! 업데이트 안 됐다구.. 그래서 삭제하고 다시 설치했는데도 같은 문구가 떠요.. 해보고싶어요. 빠른 개선 부탁,negative
50,2021-12-17,3,김지혜,로그인했는데 캐릭터 생성부터 막히네요... 호두 피시랑 모바일 둘다하고 있는데 ... 사람많을때는 피시나 모바일도 매번 렉걸려요ㅜㅜ,negative
60,2022-02-06,1,허성은,진짜 짜증나게 한나 있어요 기억 다시 나게하는 거기에서 한번 따라서 계속해도 안된서 배터리 다 나갔어요 아 진짜 Zㅏ쯩나게 이게 절대로 깔지마세요 아진짜 오늘 깔아는데--,negative
61,2021-12-06,3,JungHoon Lee,디노가 I can't hear you! 라면서 더 이상 진행이 안되네요. 마이크 소리를 인식하지 못하는 것 같네요. 혹시나 싶어 테스트해보니 구글 음성인식도 음성 녹음도 잘됩니다.,negative
68,2021-12-06,1,최미순,깔고 바로 실행하는데 ㅜㅜ 음성인식이 안되네요. 겨우 하나 넘기고 계속 안되니 애가 짜증내고 ㅜㅜ 제가 해도 안되고,negative
72,2022-02-11,1,유복순,저는 이 앱을 플래이 하려고 했는데 최신 기술로 업데이트 하라고해서 업데이트하려는데 업데이트 어떻게 하는 거예요?(아직 플래이도 못 해봄),negative
73,2022-01-06,1,곽현민,호두는 문장 읽기가 주요소라면 베티아는 단어와 문장을 각각 이해할 수 있게 해주는 것 같아요. 둘을 같이하면 시너지효과가 날 거 같아요.,negative
77,2021-12-19,2,Minju Kim,처음 부터 이유가 있어요 로그인 하는데 성을 어떻게 쓰는지 모르겠네요 그것만 아니면 좋을 느낌이 들꺼 갔아요 그것 만 고쳐주세요 알겠죠,negative
82,2021-12-18,1,Wolf Artist,헐 업데이트 괜히했다 .. 갑자기 공짜로 공부 가 안되요 ㅡㅡ 지워야지 ㅠㅠ 음성으로 말하기 재미있었는데 😭😭 하 레벨 30넘었는데 까비.,negative
85,2022-02-11,1,이재연,오마이비키 유튜브 보고 재밌었 보여서 설치 해봤는데 계속 아무거도 안되고..하지말라는 거에요? 이런걸로 사람 짜증나게 하지마세요!! 그렌서 아무거도 못하고 시간낭비 했잖아요!!! 이렇게 만들지 말고 다시 만든시든가요!! 사람 짜증나게 하지마세요!! 별 1점!!!! 그리고 무슨 소리그림 있잖아요 그거 눌러도 아무것도 안되고 아무거나 눌러도 안되고 괜히 시간낭비 했잖아요 이 점을 않 고시면 평~생 않할꺼예요!!,negative
87,2022-01-05,1,편애모드,"프로그램 자체는 좋습니다. 그런데 아직 1단계만 있더라구요. 그럼 몇달뒤 1단계 끝나면 어떻게하냐 문의하니 다음 단계가 언제 나올지는 모르지만 그때까지 반복학습하라고 하더군요 ㅡㅡ;;;; 이게 말이 되는 건지... 무책임하다는 생각이네요...!!!!!! 일단 결제하게 해놓고 다음 과정은 나몰라라 하는 건가요? 현 단계가 끝나갈 즈음엔 다음 단계가 출시될 계획이 있던지, 아니면 적어도 결재전에 1단계밖에 없다는 점을 명확하게 공지해야 하는거 아닌가요??!!! 그리고 처음 프로그램 시작하는 이용자에게는 프로그램 초기화 구입 버튼 띄우지 마세요. 필요도 없는 초기화 결재 버튼이 떠서 이용권 구입과 혼돈되어 이중 결재하게 됩니다.",negative
114,2021-12-15,2,블루퍼플,캐릭터를 만들고 나서부터 화면 어디를 터치하든 그냥 앱이 닫히는데요... 영어에 관심있어서 플레이해볼까 했는데 며칠째 똑같이 앱이 닫혀서 아무것도 못하고 제거해버렸어요 앱 오류인지.. 고쳐주시면 한번 플레이해보고 싶어요,negative
119,2022-01-02,3,은멍이의 마인크래프트,음....유료여서 잘 못하겠네요 다 한번하고 유료라니...부모님의 허락이 없으면 잘 못하겠네요.그래도 영어 공부하는 데엔 좋네요.,negative
124,2021-12-13,3,뽀라,너무 쉬워요.. 완전 초등학교 수준이라 할 맛이 안 나네요 공부도 전혀 안 되는 것 같고요.. 처음에 레벨 테스트 같은 걸 해서 단계를 맞춰 주는 게 어떨까요?,negative
144,2022-01-27,1,최준석,저초2인데영어를잘몰라서했는데잘따라했는데실패라고떠요.,negative
148,2021-12-29,1,이재은,다 재미있는대 말해도인식이 별로안되요 이것좀고쳐주세요 ㅠㅠ 재발로요,negative
150,2022-01-06,1,멋진 이진우TV,재밌었는데 영화 그거 말하는데 안봐주잖아요 영어를 못해서 배우는건데 왜 봐주는데요 그렇니까 별 1개요,negative
151,2021-12-11,1,ji young choi,방금 설치했는데.. 왜자꾸 최신으로 업데이트한다고 하면서 튕기나요?? 이거 호두잉글리시모바일하고 또 다른건가요,negative
158,2021-12-11,1,Sia Love,방금 설치했는데 왜 로딩화면에서 업뎃하라고만해~!!!하라는겨 말라는겨 장난하나..,negative
160,2022-01-03,1,정지유,왜 하루만 좋게해주고 다음날때할려면 이용권을 사야돼나요 삭제하고픈 게임이고 별 1개가 아깝네요.........,negative
162,2022-01-05,1,요이티비,굳이 왜 그런 비싼 돈 받고 운영하는 지가 이해가 안 가요 보통 게임들은 이정도면 무룐데...😑,negative
166,2021-12-16,1,Yonghak Ju,음성인식 안되서 진행이 안되네요,negative
170,2021-12-12,1,하하호호,음성 인식이 전혀 안되네요..,negative
172,2022-01-23,1,펫츠룩,인식..... 미친...... 영어회상만 30번째야.... 미친...... 살려줘어ㅓㅇㅇ오어어ㅓ어어어어어어어,negative
178,2021-12-11,1,Hoon Son,음성인식이 전혀 안 됨,negative
180,2022-01-13,1,너배늬ᅢᅥᅣ리ᅥ니이민정,저기요.베티아 잉글리시를 하는데 음성인식이 안되요.........,negative
182,2021-12-13,2,팩트폭력배,자꾸 튕기는데.. 할수 있는거 맞나여? 1분도 못해봤네연,negative
191,2021-12-10,1,Hyunsoo Han,시작이 안 돼고 계속 튕겨요..,negative
199,2022-01-28,1,sunwoo cho,아이가 좋아해요 호두도 재밌는데 베티아는 더 재밌대요,negative
203,2021-12-09,1,안공주,음성인식이안되요ㅡㅡ,negative
206,2021-12-12,1,스토롤베리,하루는 됐다가 않됐다가 해요.,negative
210,2022-01-07,1,삼나궁,....10번을 넘게말했는데 다시말하라고요?짜증나요 껏다켜도안돼잖아요,negative
213,2022-01-14,1,최미영,하..아니 처음 시작했는데 계속 인식안됌 하..1점도아깝,negative
220,2021-12-25,1,유다희,아니 제가 영어를 못해서 깔아봤는데 디노가 너~~~~~~~무 듯질못해서 답답하고 바르게 말해도 디노가 이해를 못해요. 제~발 고쳐주세요. 부탁입니다.(그리고 디노 말고도 다른애들도 디노처럼 이해가 안됐대요),negative
223,2022-02-07,2,홍민혜,말을해도 인식이안돼요,negative
236,2022-01-01,1,김종삼,노잼 1점도주기싫음 망겜,negative
238,2022-01-11,1,례정카레,아니 뭔ㅋㅋ 캐터를 1회생성못함 어쩌자는거,negative
244,2022-01-20,1,휴먼,호두로 깨고 싶네요,negative
246,2021-12-19,1,허틀러,접속안됨,negative
247,2022-01-08,1,서영이네,돈해야해서....쫌...👎,negative
257,2022-01-13,1,김지혜,아니 주변 소음이랑 내말이랑구분않하고 틀렸다고해요 솔직히1점도아까움,negative
267,2021-12-15,3,J,아니 왜 설치가 안될까요....ㅠㅠ,negative
269,2021-12-29,1,랑이집사,자꾸돈하라고떠요;;;,negative
270,2022-01-08,1,시노비마스터,이걸게임이라고,negative
273,2022-02-16,1,최인라,독네야돠요,negative
290,2021-12-20,1,신용준,이거애들이 영어못하는데왜 다른부모님이이거만들앤들이다영어못해그만그만들어엥,negative
291,2021-12-24,3,마니,I think this is for preschool. It might be better if I could choose the level.,negative
