,2022-01-01 ~ 2022-01-31,,,,,
,소재,사용자,세션,이탈수,이탈율,세션당PV
,PC_120X600_일상속미식경험_샤토굽는,52,51,43,84.3%,1.20
,PC_120X600_일상속미식경험_접시에고기,25,26,19,73.1%,2.08
,PC_300X250_일상속미식_고기뒤집는,142,142,103,72.5%,1.84
,PC_300X250_일상속미식_샤토칼로써는,57,58,41,70.7%,2.14
,PC_300X600_일상을특별하게_미니샤토접시,122,120,87,72.5%,1.99
,PC_300X600_일상을특별하게_접시위고기,61,62,42,67.7%,2.61
,PC_336X280_한우로즐기는_홈파티패키지,12,12,7,58.3%,1.50
,PC_728x90_일상속미식_접시위고기,105,106,87,82.1%,1.83
,MO_구이용_120x100,375,387,308,79.6%,1.67
,MO_구이용_120x600,38,38,28,73.7%,1.64
,MO_구이용_300X250_2,585,594,523,88.0%,1.50
,MO_구이용_320X50,79,80,75,93.8%,1.14
,MO_구이용_320X600,21,21,18,85.7%,1.33
,MO_구이용_336X280,345,352,295,83.8%,1.54
,MO_구이용_728X90,106,109,92,84.4%,1.39
,MO_320X50_일상속미식_고기뒤집는,188,214,198,92.5%,1.14
,MO_320X50_일상속미식_샤토단면,43,42,38,90.5%,1.33